department,region,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,7,0,0,1,35,5,8,1,0,49,0
1,22,1,3,1,30,5,4,0,0,60,0
0,19,1,0,1,34,3,7,0,0,50,0
0,23,1,3,2,39,1,10,0,0,50,0
3,26,1,3,1,45,3,2,0,0,73,0
5,2,1,0,2,31,3,7,0,0,85,0
1,20,0,3,1,31,3,5,0,0,59,0
1,34,1,0,1,33,3,6,0,0,63,0
5,20,1,3,1,28,4,5,0,0,83,0
0,1,1,0,1,32,5,5,1,0,54,0
3,23,1,0,1,30,,1,0,0,77,0
0,7,0,0,1,35,5,3,1,0,50,1
0,4,1,0,1,49,5,5,1,0,49,0
3,29,1,3,2,39,3,16,0,0,80,0
9,2,1,0,1,37,3,7,0,0,84,0
1,7,1,3,1,37,1,10,0,0,60,0
3,2,1,3,1,38,3,5,1,0,77,0
0,31,1,3,1,34,1,4,0,0,51,0
0,31,1,3,1,34,5,8,1,0,46,0
1,15,1,3,1,37,3,9,0,0,59,0
4,14,1,3,1,35,3,7,0,0,75,0
1,15,1,0,1,41,4,11,0,0,57,0
6,11,0,3,1,28,3,4,0,0,63,0
4,5,1,3,1,27,,1,0,0,70,0
6,22,1,0,2,39,5,7,0,0,59,0
3,22,1,3,1,27,5,3,1,0,83,0
4,26,1,3,1,31,5,4,1,0,68,0
3,26,1,3,1,33,4,4,0,0,79,0
5,5,1,3,1,29,5,3,1,0,80,0
0,4,1,0,1,26,,1,0,0,44,0
4,15,1,0,1,37,5,10,1,0,72,0
6,31,1,3,2,26,1,2,0,0,61,0
0,7,0,0,1,24,1,2,0,0,48,0
1,2,1,0,2,57,4,6,0,0,58,0
5,22,1,3,2,27,5,3,1,0,87,0
0,22,1,3,1,40,2,4,1,0,47,0
3,28,1,0,1,33,4,4,1,0,75,0
0,7,0,0,1,40,5,3,0,0,47,0
0,1,1,3,1,42,5,5,1,0,51,0
0,28,1,0,1,33,5,6,1,0,51,1
3,15,1,3,1,34,3,10,0,0,80,0
1,2,0,3,2,23,4,2,1,0,57,0
7,2,1,0,1,59,4,26,1,0,52,0
0,2,1,3,3,24,2,2,0,0,48,0
5,2,1,3,1,44,5,12,0,0,88,0
4,17,0,0,1,50,5,11,0,0,71,0
4,13,0,3,1,37,4,4,0,0,71,0
3,16,1,0,1,40,3,11,0,0,80,0
0,20,1,0,1,30,3,3,1,0,49,0
4,2,0,0,1,56,3,12,0,0,73,0
6,2,1,0,1,20,4,2,1,0,60,0
0,25,0,0,1,31,3,8,0,0,48,0
4,15,1,0,1,40,3,12,1,0,65,0
7,22,1,3,1,30,1,6,0,0,50,0
1,22,1,3,1,39,3,5,1,0,62,0
